,text
1644,because of reports of fluroxene toxicity in man the effect of phenobarbital treatment on the toxicity and metabolism of fluroxene was studied in rhesus monkeys six monkeys that were exposed to a mean calculated AM fluroxene concentration of for hr periods up to a total of hr showed no evidence of toxicity two animals were sacrificed after a single hr exposure to obtain control measures of fluroxene metabolites in tissues four monkeys that had previously survived received exposures to fluroxene and monkeys that had no exposure to fluroxene died during fluroxene anesthesia after treatment with phenobarbital mean time hr toxicity was manifested by arterial hypotension pulmonary edema and arterial hypoxemia phenobarbital treatment enhanced production of fluroxene metabolites including the highly toxic trifluoroethanol concentrations of trifluoroethanol in mixedexpired gas blood and urine and of total nonvolatile fluorine in blood urine and tissues of animals treated with phenobarbital were to times as in control animals the results suggest that the rhesus monkey is a valuable model for the study of fluroxene pharmacology and that inclusion of an enzymeinducing challenge in the evaluation of potential toxicity of other anesthetics seems warranted
1645,the system involved in the reduction of dibromopropyl aminophenylazolbenzoic acid B6 an agent designed for treating primary CL cell cancer has been demonstrated to be localised mainly in the x g supernatant fraction of rat liver TH it is also present in other organs particularly in the SP dabazoreductase as shown previously is present almost entirely in the microsomal fraction and is found in high concentration only in liver the ph maximum for cbazoreductase implying the importance of the carboxyl group in determining substrate specificity the use of enzyme inhibitors and other additives showed that cb was not axanthine oxidase or DHF reductase its activity was not affected by carbon monoxide phenobarbitone pb or methylcholanthrene mc i.c.v. enhancement of the activity by ferrous ions and fad indicated that at least part of the reduction system could involve a flavoprotein with fad as the prosthetic group the activity of cbazoreductase and methylredazoreductase was reduced by menadione vitamin k cyanide and propylgallate a diaphorase preparation from pig heart reduced both B6 and methylred with both nadph and nadhgenerating systems
1646,serums from infected cattle cattle with persistent postvaccinal antibody and serologically positive noninfected cattle were fractionated into major immunoglobulin classes by diethylaminoethyl deaecellulose chromatography and by sucrose density gradient centrifugation each fraction was assayed for antibrucella activity by standard tubeagglutination test stt buffered tubeagglutination test btt and complementfixation test cf in the serums from experimentally INF cattle antibrucella antibody could be found by all tests in deae fractions and in slow fast and sediment regions of the density gradient serums from cattle with persistent postvaccinal titers had stt activity in all deae fractions btt activity in fractions and cf activity in only fraction the stt and btt MICs were found in the slow and the sediment regions of the gradient whereas the cf activity was found only in the slow region serums from a chronically INF animal had stt and btt MICs in deae fractions and cf activity in only the stt btt and cf activities were found in the slow and the sediment regions of the gradient the principal antibody in serums from noninfected cattle was immunoglobulin m which had all of the cf activity and most of the stt and btt activities low levels of stt and btt activities were found in other deae fractions only stt and btt activities were found in the fast and the sediment regions of the gradient
1647,bovine spleen cat b and collagenolytic cathepsin were separated by chromatography on amberlite irc and collagenolytic cathepsin was partially purified by chromatography on deaesephadex a collagenolytic cathepsin degraded insoluble tendon collagen maximally at ph and degrees c mainly alphachain components were released into solution at degrees c the telopeptides in soluble skin collagen were also cleaved to yield alphachain components collagenolytic cathepsin was thus similar to cathepsin b in its action against native collagen but mixtures of these two enzymes exhibited a synergistic effect the addition of thiolblocking compounds produced similar inhibition of collagenolytic cat and cathepsin b the enzyme responded similarly to all other compounds tested except to aminohexanoic acid when collagenolytic cathepsin was slightly activated and cat b was almost unaffected leupeptin which is a structural analogue of argininecontaining synthetic substrates inhibited collagenolytic cathepsin as effectively as cathepsin b collagenolytic cathepsin was shown to retain a low residual activity against alphanbenzoyldlarginine pnitroanilide during purification which was equivalent to of the activity of cathepsin b cathepsin b and collagenolytic cat could not be separated by affinity chromatography on organomercurialsepharose b the two enzymes could be resolved on deaesephadex a and by isoelectric focusing in an ampholine ph gradient the pi of the L1 cat b isoenzyme was and the pi of collagenolytic cat was from chromatography on sephadex g superfine grade the molecular weights were calculated to be for cathepsin b and for collagenolytic cathepsin the difference in molecular weight was confirmed by sodium dodecyl sulphatepolyacrylamidegel PACE
1648,this report concerns the feasibility of low volume priming extracorporeal circulation through this study the bubble oxygenator with zuhdis heat exchange was used moderate hypothermia with surface cooling and HD perfusion with per cent dw was evaluated in mongrel dogs and clinical open HR cases the results obtained here were as follow body temperature reduction by surface cooling before bypass provided more even cooling than did core cooling by LF partial bypass alone in regard to cardiac loading on returning the whole perfusate of the circuit to patient approximately mlkg of per cent dw was feasible as a priming solution to reduce the blood visicosity HD technique with per cent dw was superior and HD effect during postoperative periods was temporaly the excess lactate volume postulated by huckabee was a available index to evaluate metabolic acidosis during the extracorporeal circulation with aid of surface cooling the acidbase balance during perfusion was kept to lesser extent than that of core cooling only this T0 indicated that the low priming perfusion in conjunction with surface cooling HT was a reliable technique for the open heart operation and may be applied in more prolonged perfusion
1649,these experiments indicate that absorbance changes observed at the nm isosbestic point of the hb and hbco following laser photolysis of hbco provide a direct measure of the rates of quaternary conformational changes between rapidly reacting hb the immediate product of full photolysis and slowly reacting normal deoxyhemoglobin hb first observed by gibson gibson qh biochem j has been interpreted as deoxyhemoglobin remaining in the liganded quaternary conformation following rapid removal of ligand by a light pulse in borate buffers between ph and particularly simple phindependent results were obtained which allowed the use of a monod wyman and changeux MM monod j wyman j and changeux j j mol biol to fit the data in this case hb is taken to be r state deoxyhemoglobin partial photolysis experiments at nm show that the rate of the r t conformational change at degrees decreases by about a factor of for each additional bound ligand the rate of the ligandfree conformational change is found to be s s and respectively at degrees degrees and degrees the previously uninterpreted effects of flash length and partial photolysis on the co recombination kinetics can be explained in terms of the present model kinetic results obtained below ph are found to be inconsistent with a twostate model it appears that binding of Ins hexaphosphate produces a new rapidly reacting quaternary conformation of hbco
1650,to obtain high yields of extracellular enzymes and toxins for immunological analysis type culture collection strains of clostridium perfringens types a to d and fresh isolates of c perfringens type a from humans were grown in fermenters under controlled conditions in a prereduced proteose peptone medium the type culture collection strains all showed different characteristics with respect to growth rates and ph optima for growth production of phospholipase c alphatoxin Hly and lethal activity varied considerably between the different types growth and extracellular protein production in fermenters with ph control and static or stirred cultures were compared production of all extracellular proteins measured was markedly improved by cultivation in fermenters with ph control strain atcc produced five times more phospholipase c than any of freshly isolated strains of c perfringens type a grown under MZ conditions haemolytic and lethal MICs of the atcc strain were equal or superior to the activities of any of the freshly isolated strains there were no differences in the bacterial yields and in the production of extracellular toxins between type a strains isolated from clinical cases of gas gangrene and abdominal wounds and those isolated from faecal samples from healthy persons
1651,growth inhibitory effect of combined treatment of tetracycline tc and oleandomycin om at a ratio of on certain species of pathogenic bacteria including DR ones was examined by the crossed paper strip method synergistic effects were demonstrated against of the strains of staphylococcus aureus and all of the strains of escherichia coli studied antagonism was observed with none of the strains and with strains of streptococcus pyogenes and strains of streptococcus pneumoniae tested in the present experiments the mics determined by the agar dilution method also gave similar results although synergism was not conclusively demonstrated by this method with representative strains of s aureus synergism was evidenced by quantitative measurement of growth inhibition in some strains mug of one drug per ml of medium inhibited the induction of resistance to the second drug such a small dose of one drug also inhibited the development of a mutant resistant to the second drug these GABA actions were thought to be one of the important factors causing the synergistic effect of tc and om on drug resistant bacteria
1652,it was found that a human hepatomaassociated alp orthophosphoric monoester phosphohydrolase ec shared electrophoretic mobility inactivation by urea inhibition by inorganic phosphate ethylenediaminetetraacetate and amino acids lphenylalanine lleucine and lhomoarginine heat stability sensitivity to neuraminidase ph optimum km value and antigen site with fast moving alp isozymes of fl cell CS derived from HAM however weekold fresh AM lacked this isozyme instead it had a placental type alp consisting of minor components the other alp isozyme of fl cells had properties common to hepatoma alp with regard to lphenylalanine sensitivity inhibition by ethylenediaminetetraacetate inactivation by urea and antigen site but differed from it in electrophoretic mobility sensitivity to lleucine and lhomoarginine and the presence of another antigen site it was more heat SD and more CS to inhibition by inorganic phosphate than hepatoma ap the possible regulatory mechanism between the hepatomatype alp and the placental type alp in the amnion cells is considered
1653,mice of different ages were evaluated with respect to their ability to give a plaqueforming cell pfc response to type iii pneumococcal polysaccharide sssiii as well as the degree of amplifier and suppressor thymusderivedt cell activity present although the magnitude of the pfc response to an optimally immunogenic dose of sssiii for and week old mice was only and respectively of that produced by AD week old mice values comparable to those of adult animals were attained by weeks of age no significant changes in the ability to respond to sssiii occurred thereafter amplifier t cell activity which was minimal at to weeks of age matured slowly and did not reach a maximum until to weeks of age by contrast Ts cell activity appeared to be fully developed at least as early as weeks of age here the inhibitory effects produced could by abrogated by depletion of t cells indicating that the unresponsiveneness induced by such cells does not result in the depletion ot irreversible inactivation of b cells capable of responding to sssiii these findings suggest that the GABA effects of suppressor TA are predominant in young mice and that such cells may play an important role in determining the ease with which unresponsiveness is induced in neonates and in the prevention of autoimmune disease also studies conducted with adultthymectomized mice showed that both amplifier and suppressor t cells once seeded to the periphery are SD and do not depend upon the presence of intact thymus for the expression or renewal of their activity
1654,the effect of feeding a relatively lowprotein diet containing dab for weeks on the activity of dabazoreductase nitroreductase pnitrobenzoic acid noxidase nndimethylaniline ndemethylase dab cytochrome p nadphcytochrome c reductase betaglucuronidase and arylsulphatase a were studied rapid decreases occurred in the activities of the first six enzymes reaching minimal values at between and weeks activities then increased in all cases to control or nearly control levels this rate of increase was least for cytochrome p at weeks azoreductase activity with the chemotherapeutic agent B6 i as substrate was significantly higher than in control rats early increases occurred in the activities of betaglucuronidase and arylsulphatase a and the activity of the latter never dropped below the control level an investigation was made of the differential effects of dye feeding on some of the enzyme activities in the two major liver lobes and differences were found the effect of phenobarbital pb pretreatment on the dabfed rats was studied at week intervals the MICs of dabazoreductase and of nitroreductase increased throughout the whole period while the activities of the lysosomal enzymes were decreased after FF dab for weeks the effect of pb and methylcholanthrene mc on the activities of dabazoreductase cbazoreductase and components of the azoreductasescytochrome p nadphcytochrome c reductase the cocbazoreductase was not induced by pb or mc and co did not inhibit its reduction its reduction depended only slightly on nadh co caused a greater relative decrease in the activity of dabazoreductase in dyefed animals and also in animals following pb and mc i.c.v. implying a greater role of cytochrome p in dyefed animals
1655,the intermediate phase of fluorescence relaxation lmsls joliot p joliot a bouges b and barbieri g photochem photobiol following a single saturating flash is shown to be controlled by a slow phase of the reoxidation of q by a AA acceptor and in vivo by the transmembrane electric field the kinetics of reoxidation of q are slowed by lowering the ph this slowing effect is interpreted in terms of the reversible formation at low ph of qh which is not oxidizable by the AA acceptor the electric field transforms photosystem ii centers into a nonquenching photochemically inactive state that cannot be attributed to an accumulation of q centers are unequally sensitive to the field a critical field strength can be defined for each center above which that center is blocked and below which the center is photochemically AS the transformation from the active to inactive state occurs over a narrow range of field strength sensitive centers are blocked by the field in less than ms and become active again in less than ms as the field strength falls two hypotheses are proposed for the mechanism of blockage of centers by the field a field induced conformational NC in the centers the formation or suppression of a dipole critical to the CF of a center the activity of the atp synthetase determining the rate of EC50 of the field was controlled by a lightdark treatment or by a chemical method using pbenzoquinone
1656,chronic administration of gl or nicotinamide in drinking water inhibits the activity of rat liver TP and subsequent withdrawal causes an enhancement the CEA is also inhibited by administration in drinking water of sucrose but not fructose which is capable of preventing the glucose effect the inhibition by glucose or nictinamide is not due to a defective apoenzyme synthesis nor a decreased cofactor availability the inhibition by nicotinamide is reversed by regeneration of liver nad and nadp in vivo by administration of fructose pyruvate or PMS inhibition by glucose is also reversed by the above agents and by nhcl reversal of inhibition by glucose or nicotinamide is also achieved in vitro by addition of nad or nadp glucose or nicotinamide increases liver nadph nadp is also increased by nicotinamide nadph is also increased by SU but not by fructose which prevents the glucose effect phenazine methosulphate prevents the increase in nadph caused by both glucose and nicotinamide it is suggested that the inhibition of tryptophan pyrrolase activity by glucose or nicotinamide is mediated by both nadph and nadh
1657,the metal content of carboxypeptidase y was analyzed by the atomic absorption method after exhaustive dialysis against an edta solution the enzyme showed no loss of activity nor any significant content of metals zhmgcacumnnife and co the activity was however rather sensitive to preincubation with various metals the reactivity of a serine residue of the enzyme was also reevaluated DFP dfp and phenylmethanesulfonyl fluoride pmsf stoichiometrically and irreversively inhibited the enzyme the rate of inactivation with dfp was much faster than that for typsin ec and chymotrypsin ec while the rate with pmsf was onefifteenth of that for chymotrypsin the phdependence of the inactivation by dfp was similar to that of the enzymatic hydrolysis of acetylphenylalanine ethyl ester the present results indicate that carboxypeptidase y is free of metals and has a serine residue with a vital role in the catalytic process though the PET role of this sh group remains to be clarified
1658,metachromatic leukodystrophy and maroteauxlamy syndrome can be diagnosed by assay of leukocyte or FB arylsulfatase a and b activity with the fluorogenic ATP methylumbelliferyl sulfate the arylsulfatases are extracted into a x g supernatant by sonication in sodium chloride and then separated with cm on columns or in test tubes in m sodium acetate ph arylsulfatase a is not absorbed while arylsulfatase b is retained by the resin the arylsulfatase b is then eluted from the resin with m sodium chloride the arylsulfatase a activity obtained from normal leukocytes and fibroblasts is linear for the initial minutes of the reaction is stimulated fold by mm lead acetate and inhibited by mm silver nitrate after separation with cm the arylsulfatase b activity is stimulated fold by triton x arylsulfatase a but not ASB is destroyed by heat degrees both leukocyte and FB arylsulfatase a activity was reduced to of control values in metachromatic leukodystrophy essentially no arylsulfatase b activity was detected in cells from patients with maroteauxlamy syndrome metachromatic leukodystrophy heterozygotes but not maroteauxlamy syndrome heterozygotes can also be distinguished by this method a heat inactivation technique utilizing the differential thermal stabilities of the two enzymes for diagnosis of patients with marotezuxlamy syndrome is also described the advantages of these methylumbelliferyl sulfate CA procedures over the pnitrocatechol sulfate method of assay are greater sensitivity selectivity for the desired enzyme and potential for use in large scale testing
1659,pediococcus cerevisiaeamr resistant to amethopterin possesses a higher DHF reductase tetrahydrofolate nadp oxidoreductase ec activity than the parent a folatepermeable and thus amethopterinsusceptible strain and than the wildtype the properties of DHF reductase from the three strains have been compared temperature ph optima heat stability as well amethopterin IB did not reveal significant differences between the enzymes from the susceptible and resistant strains the enzyme from the wildtype was times more sensitive to inhibition by amethopterin and more susceptible to heat denaturation the apparent km values for dihydrofolate in enzymes from the three strains were in the range of mum and for nadph mum the amethopterinresistant CS exhibited crossresistance to trimethoprim and was about fold more resistant to the latter than the sensitive parent and the wildtype the resistance to TMP appears to be a direct result of the increased dihydrofolate reductase activity inhibition of DHF reductase activity by this drug was similar in the three strains nmol caused inhibition of enzyme unit TMP was about times less ERP inhibitor of dihydrofolate reductase than amethopterin the cell extract of the amr strain possessed a folate reductase activity three times higher than that of the sensitive CS the MICs of other folaterelated enzymes like TS and formyltetrahydrofolate synthetase formate tetrahydrofolate ligase adpforming ec were similar in the three strains studied
1660,immunological responses are divided into those mediated by humoral antibody bcells and those by cells tcells both depend upon the activity of small lymphocytes which become thymus or bursa analogue dependent during embryonic development primary immundeficiencies are therefor defects of lymphocytes attributed in most cases to gene defects early diagnosis is the necessary prerequisit for possible treatment tests for assessing the cellular immune status are skin testes and in vitro tests clinical syndroms are lymphocytopenia hypoplasia deficiency of lymphocytes in lymphatic tissues normal cortical GCs recurrent infections with viruses candida or pneumocystis carinii are common tests for assesing the humoral immune status are measurement of immunglobulin levels in SS isohaemagglutinins tests for antibody formation following active immunization in vitro tests clinical syndroms are no germinal centres in lymphnodes no plasma cells recurrent bacterial infections treatment of bcell deficiencies immunglobulin replacement therapy treatment of tcell deficiencies by grafting of thymus transplants combined immune deficiencies are treated with bone marrow transplants from matched donors for bone marrow transplantation GF state seems to be the ideal situation to protect the patient against infection before the therapeutic maneuver and for prevention of graft versus host reaction in the posttransplantation period
1661,the terminal phosphate of gammapatp is rapidly incorporated into cardiac sarcoplasmic reticulum membranes mumolg protein in the presence of calcium and magnesium cardiac sarcoplasmic reticulum membranes catalize an atpadp phosphate exchange in the presence of calcium and magnesium halfmaximum activation of the phosphoprotein formation and atpadp phosphate exchange is reached at an ionized calcium concentration of about mum the hill coefficients are transphosphorylation and atpadp phosphate exchange require magnesium and are maximally G1 at magnesium concentrations close to or equal to the atp concentration the phosphoprotein level is reduced to about at an adpatp ratio of the rate of calciumdependent atp splitting declines whilst the rate of the calciumdependent atpadp phosphate exchange increases when the adpatp ratio is varied from to the sum of both the rate of atp splitting and the rate of adpatp phosphate exchange remains constant phosphoprotein formation and atpadp phosphate exchange are not affected by azide dinitrophenol dicyclohexyl carbodiimide and oubain whilst both activities are reduced by blockade of sh CG localized on the outside of the sarcoplasmic reticulum membrane the isolated phosphoprotein is acid stable the trichloroacetic acid denatured plabelled membrane complex is dephosphorylated by hydroxylamine which might indicate that the phosphorylated protein is an acylphosphate polyacrylamide gel elctrophoresis performed with phenolacetic acidwater of phosphorylated sarcoplasmic reticulum fractions demonstrates that the pincorporation occurs into a protein of about molecular weight it is suggested that the phosphoprotein represents a EP of the calciumdependent atpase which formation occurs as an early step in the reaction sequence of calcium translocation by cardiac sarcoplasmic reticulum similar as in skeletal muscle
1662,drinking water supplies of rural communities in georgetown county south carolina were randomly selected for sample collection the analysis showed that most of the waters were slightly acidic low but acceptable concentrations of chloride copper fluoride sodium cadmium nitrate and phosphate were found a few water samples showed higher then recommended levels of arsenic mercury zinc and lead although only of the samples exceeded the mandatory limit of ppm for As exceeded the recommended level of ppm the mandatory limit for manganese was exceeded in of the waters while exceeded the limit for iron the high iron content was generally responsible for the high turbidity found in of the samples the well depth and the consumer income had some bearing on water SQ statistical evidence suggested that septic tank seepage was partially responsible for nitrate phosphate iron and arsenic contamination of shallow water supplies lead concentrations appear to vary according to the plumbing used and the ph of the waters
1663,addition of ubiquinone to e coli ml membrane vesicles dramatically increases coupling between nadh oxidation and active transport such that initial rates and steadystate levels of lactose and aminoacid accumulation are comparable to those observed during dlactate oxidation similar but less dramatic effects are observed with the quinone and succinate or llactate in the presence of nadh and ubiquinone the vesicles also generate a membrane potential interior negative that is similar in magnitude to that observed in the presence of dlactate stimulation of nadhdependent transport by ubiquinone cannot be accounted for by increased rates of oxidation of nadh and the effect of the quinone on nadhdependent lactose transport is not observed in vesicles depleted of ND activity thus it is apparent that ubiquinone shunts electrons from nadh dehydrogenase nadhacceptoroxidoreductase ec to the portion of the respiratory chain containing the energycoupling site the findings demonstrate unequivocally that inefficient coupling of nadh oxidation to active transport cannot be due to the presence of inverted LDV in addition they provide further support for TPS localization of the energycoupling site
1664,twelve male lister hooded rats were conditioned to discriminate an khz tone db re dyne cm and were subsequently injected subcutaneously with kanamycin mg kg day for days during this time and for five weeks after dosage was stopped the nature and extent of the resultant hearing deficits were studied the animals preyer reflex thresholds were determined at intervals during the study only one rat was unaffected by the kanamycin dosage the onset of hearing impairment reduced discrimination performance which was gradual in some rats and sudden in others generally occurred during the fourth week of kanamycin dosage although the earliest onset was towards the end of the second week in most animals the hearing impairment progressed after kanamycin was stopped and in one rat there was a latency between the end of drug dosage and ON of hearing impairment hearing impairment was irreversible in five rats one rat whose impairment was slight recovered normal hearing some rats showed a reduced discrimination performance at a time when their preyer reflex threshold showed no elevation suggesting that kanamycin at least initially caused a threshold elevation rather than reduced sensitivity to intense sounds
1665,heterogeneities of the two ovalbumin glycopeptides manglcnacasn and manglcnacasn were revealed by borate paper PACE of oligosaccharide alcohols obtained from the glycopeptides by endobetanacetylglucosaminidase h digestion and nabh reduction the structures of the major components of the oligosaccharides were determined by the combination of methylation analysis acetolysis and alphamannosidase digestion based on the results the whole structures of the major components of manglcnacasn and manglcnacasn were elucidated as manalpha leads to manalpha leads to manalpha leads to manalpha leads to manbeta leads to glcnacbeta leads to glcnac leads to asn and manalpha leads to manalpha leads to manalpha leads to manalpha leads to manalpha leads to manbeta leads to glcnacbeta leads to glcnac leads to asn respectively since endobetanacetylglucosamini dase d hydrolyzes manglcnacasn but not manglcnacasn the presence of the unsubstituted alphamannosyl residue linked at the c position of the terminal mannose of manbeta leads to glcnacbeta leads to glcnacasn core must be essential for the action of the enzyme
1666,f nuclear magnetic resonance spectroscopy has been used to study the effects of salts and denaturants on the structure and aggregation properties of several trifluoroacetyl derivatives of insulin this technique has been shown to be a powerful tool in the T0 of specific sites on the protein molecule CD and sedimentation velocity studies were also carried out to aid in the interpretation of the magnetic resonance data at ph zn had no effect on the f magnetic resonance spectrum however citrate and acetate ions significantly sharpened the signal from the trifluoroacetyl probe at the nterminal end glycine a of the insulin a chain no alterations were observed in the sw value of circular dichroic spectra suggesting that the probe had gained a considerable degree of motional freedom without changes in aggregation or conformational properties in the absence of perturbants the trifluoroacetyl group on glycine a showed considerably more motional freedom than on phenylalanine b guanidine hydrochloride and sodium dodecyl sulfate were used to study the unfolding of several trifluoroacetylinsulin derivatives the results suggested differential alterations in the environments of the probes located at glycine a phenylalanine b and lysine b in the insulin molecule as the concentration of perturbant was increased
1667,s mutans strain mt from an AS carious lesion in the tooth of a child had type e specificity and showed a crossreaction with the lancefield group e cell wall streptococcal SPA heatkilled cells mt adhered to a glass surface in the presence of cgt mt and SU pretreatment of the cells with antimt whole cell serums inhibited adherecne the removal of glycerol teichoic acid antibody and group e antibody from the mt serum did not result in a loss of GABA activity antiserum with or without adsorption significantly inhibited glucan synthesis by cgt from sucrose antibodies TPS for the polyglycerol phosphate of teichoic acid did not inhibit adherence antigroup e serum and serums specific for other types of s mutans did not show adherence LIA except for an occasional type c TPS AS antibody TPS for the type e antigen produced significant inhibition of the IB of cgt to the mt cell wall and adherence of these cells did not occur antibody to cgt inhibited glucan synthesis treatment of the cells with dextranase dextran antibody or trypsin caused a significant reduction in adherence the results suggest that the type antigen and dextran on the surface of the s mutans type e cell are PET in adherence and that these polymers are associated with cell wall protein
1668,a lysosomal fraction was separated by densitygradient centrifugation from a HP human polymorphonuclear leucocyte suspension some different lysosomal enzymes were assayed for activity in the presence of various concentrations of glycosaminoglycans the acid hydrolases assayed were strongly inhibited to different degrees by low mmoll concentrations of glycosaminoglycans in a phdependent manner thus inhibitions were stronger below ph with activity returning to control values at about ph on a molar basis the LIA for the several glycosaminoglycans studied was heparin greater than chondroitin sulphate greater than hyaluronic acid once the glycosaminoglycanacid hydrolase complex was formed it was partially dissociated by slight elevations in the ph of the incubation medium by increasing the ionic strength of the incubation medium or by adding several cationic proteins eg histone protamine as leucocytic lysosomes contain large amounts of chondroitin sulphate and have a strongly acid intragranular ph we suggest that glycosaminoglycans may modify lysosomal CF through the formation of complexes with lysosomal enzymes by inhibiting the digestive activity of the acid hydrolases when the intralysosomal ph is below their pi
1669,when HP myelin from rat sciatic nerve was incubated with gammapatp protein components of the membrane were phosphorylated indicating the presence of both the ATP receptor protein and an endogenous kinase in the membrane PAGE of the phosphorylated membrane proteins followed by scintillation counting of gel slices and ARG showed that the polypeptides of molecular weights and were phosphorylated and p from gammapatp having been incorporated into serine residues of the substrate proteins phosphorylation of purified myelin was mgdependent was optimal at ph and was not stimulated by adenosine monophosphate we found that proteins other than those in myelin such as phosvitin casein protamine and histones can also act as a substrate for the membrane associated kinase muscle protein kinase inhibitor had no effect on the endogenous phosphorylation of myelin proteins or on the phosphorylation of phosvitin by IP nerve myelin protein kinase however the phosphorylation of histone by peripheral nerve myelin protein kinase was inhibited by the protein kinase inhibitor after washing the membrane with mm kcl the protein kinase that utilizes histone as ATP was found in the supernatant in contrast the endogenous phosphorylation of membrane proteins or the phosphorylation of phosvitin by the membrane associated kinase was not affected by washing from these findings we conclude that at least two protein kinase systems exist in purified PN myelin one system is not inhibited by muscle kinase inhibitor is tightly bound to the membrane and utilizes as its receptor proteins either exogenous phosvitin or endogenous membrane proteins the second system is inhibited by muscle kinase inhibitor is removable from the membrane and utilizes histones as its receptor proteins
1670,nonenzymatic formation of dipicolinic acid dpa from diketopimelic acid and ammonia was clearly demonstrated using a new method for dpa analysis the reaction rates of dpa formation were almost the same under aerobic and anaerobic conditions nearly equimolecular quantities of dpa and tetrahydrodipicolinic acid were detected in spontaneous reaction mixture the spontaneous reaction seemed to be due to dismutation of dihydrodipicolinic acid resulting in dpa and tetrahydrodipicolinic acid the apparent optimum ph of the spontaneous reaction was and the maximal rate of dpa formation was observed with a molar ratio of diketopimelic acid to ammonia the rate of the spontaneous reaction was stimulated by ferrous sulfate fmn and riboflavin dihydrodipicolinate reductase catalyzes the reduction of dihydrodipicolinate prepared from pyruvate and aspartic betasemialdehyde with nadph as reductant the reductase was isolated from Bs and found to stimulate dpa formation from diketopimelic acid and ammonia the enzymatic dpa formation was absolutely dependent on oxygen and optimum ph was the catalytic action of the enzyme was similar to that of the oxidase possible mechanisms of dpa formation from diketopimelic acid and ammonia are proposed
1671,hemin allows maximal protein synthesis in intact rabbit reticulocytes and their cellfree lysate S9 by retarding the formation of a translational repressor hcr found in the postribosomal supernate in order to evaluate the role of hcr in the pathogenesis of hypochromic anemias hcr was isolated and partially purified from intact rb reticulocytes incubated in vitro with either mm alphaalphadipyridyl an ironchelating agent or m ethanol both of these agents inhibit reticulocyte protein synthesis hemin mum protects against the inhibition by both agents a ferrous irontransferrin mixture however protects only against alphaalphadipyridyl both alphaalphadipyridyl and ethanol inhibit heme synthesis before the time that protein synthesis is affected while neither lowers either atp or gsh levels these results indicate that while both agents inhibit heme synthesis alphaalphadipyridyl does so by inducing ID while ethanol works at a nonironrequiring step when hcr was isolated from intact cells and assayed in the reticulocyte cellfree systems plus and minus hemin premature appearance of hcr was found in cells incubated in vitro with alphaalphadipyridyl or ethanol when hemin was present in the intact cell incubation the appearance of hcr was retarded the hcr from alphaalphadipyridyl ethanoltreated cells was partially purified and eluted at the same location on a sephadex g column molecular weight approximately x as that from postribosomal supernates incubated minus hemin in addition rabbits with phenylhydrazineinduced hemolytic anemia were given intravenous ethanol in vivo at a dose of mlkg this concentration of alcohol resulted in an inhibition of the rate of heme synthesis and protein synthesis as well as an acceleration of hcr formation in reticulocytes the hcr from these in vivo treated rabbits was isolated partially purified and assayed in an identical fashion as the in vitro experiments these in vivo experiments further support the physiological and pathophysiological role of hcr in reticulocytes on the basis of these results a model for a role of hcr in some of the hypochromic anemias is proposed in iron deficiency or chronic disease where iron is not available to the erythroblast for heme synthesis hcr appears prematurely and inhibits protein synthesis when heme synthesis is inhibited by ethanol but there is sufficient intracellular iron hcr appears prematurely and inhibits protein synthesis iron accumulates in the erythroblast and the end result is sideroblastic anemia
1672,the in vivo administration of the radiolabeled lung toxin alphanaphthylthiourea antu to rats leads to the CB of radioactivity to the macromolecules of the lung and liver in contrast very little radioactivity is bound in these organs when an equal amount of the clabeled oxygen analog of antu calphanaphthylurea anu is administered in addition anu is essentially nontoxic to rats antu is metabolized in vitro by lung and liver microsomes to an intermediate which covalently binds to the macromolecules of the microsomes this CB which requires nadph leads to a decrease in mixedfunction oxidase activity and to a decrease in the level of cytochrome p detectable as its carbon monoxide complex incubation of microsomes with antu in the absence of nadph or with anu in the presence of nadph has no effect on these parameters i.c.v. of rats with small nonlethal doses of antu daily for days brings about a decrease in the activity of the mixedfunction oxidase enzyme system in the lung which metabolizes parathion in addition this pretreatment decreases the toxicity of antu and leads to a decrease in the amount of radioactivity bound to the macromolecules of the lung when the animals are given a lethal dose of santu these data suggest that the lung toxicity of antu is brought about by its metabolic activation and CB to lung macromolecules
1673,the reaction of mucor miehei protease with concanavalin a was followed by a turbidimetric CA in the ph range at ph no turbidity developed but binding of the enzyme to concanavalin a could be demonstrated by gel filtration two fractions of apparent molecular weight and were isolated the molecular weight species apparently representing a protomer of concanavalin a bound to the enzyme an analysis of the circular dichroism spectrum of this complex suggested that protomer binding results in a conformational change in the enzyme which is associated with a increase in proteolytic activity at ph the enzyme was strongly bound to columns of concanavalin a sepharose but could be removed by including alphamethyl dglucoside and nac in the elution buffer some column degradation occurred at room temperature but was not detectable at degrees c where rapid elution of the enzyme resulted in a greater than yield of highly AS protein periodateoxidized mucor miehei protease and mucor renin did not react with concanavalin a and were not bound to the affinity column
